nm, A
510.000000, 0.027667
509.000000, 0.028299
508.000000, 0.029061
507.000000, 0.029944
506.000000, 0.030813
505.000000, 0.031683
504.000000, 0.032694
503.000000, 0.033661
502.000000, 0.034751
501.000000, 0.035931
500.000000, 0.037194
499.000000, 0.038420
498.000000, 0.039914
497.000000, 0.041460
496.000000, 0.043148
495.000000, 0.044886
494.000000, 0.046691
493.000000, 0.048666
492.000000, 0.050848
491.000000, 0.053186
490.000000, 0.055745
489.000000, 0.058575
488.000000, 0.061577
487.000000, 0.064734
486.000000, 0.068174
485.000000, 0.071889
484.000000, 0.075839
483.000000, 0.080131
482.000000, 0.084649
481.000000, 0.089374
480.000000, 0.094590
479.000000, 0.100152
478.000000, 0.106004
477.000000, 0.112241
476.000000, 0.118485
475.000000, 0.125007
474.000000, 0.131843
473.000000, 0.138712
472.000000, 0.145730
471.000000, 0.152822
470.000000, 0.159717
469.000000, 0.166559
468.000000, 0.173494
467.000000, 0.179994
466.000000, 0.186240
465.000000, 0.192218
464.000000, 0.197745
463.000000, 0.202834
462.000000, 0.207508
461.000000, 0.211773
460.000000, 0.215594
459.000000, 0.219006
458.000000, 0.221783
457.000000, 0.224085
456.000000, 0.225817
455.000000, 0.227111
454.000000, 0.227885
453.000000, 0.228383
452.000000, 0.228247
451.000000, 0.227677
450.000000, 0.226787
449.000000, 0.225504
448.000000, 0.224046
447.000000, 0.222546
446.000000, 0.220780
445.000000, 0.218991
444.000000, 0.217203
443.000000, 0.215683
442.000000, 0.214421
441.000000, 0.213556
440.000000, 0.212553
439.000000, 0.211695
438.000000, 0.210958
437.000000, 0.210000
436.000000, 0.208898
435.000000, 0.207756
434.000000, 0.206286
433.000000, 0.204938
432.000000, 0.203720
431.000000, 0.202247
430.000000, 0.200807
429.000000, 0.199643
428.000000, 0.198253
427.000000, 0.196771
426.000000, 0.195079
425.000000, 0.193735
424.000000, 0.192194
423.000000, 0.190706
422.000000, 0.188549
421.000000, 0.186492
420.000000, 0.184118
419.000000, 0.181519
418.000000, 0.178638
417.000000, 0.175699
416.000000, 0.172486
415.000000, 0.169298
414.000000, 0.165654
413.000000, 0.162076
412.000000, 0.158621
411.000000, 0.155336
410.000000, 0.151823
409.000000, 0.148264
408.000000, 0.144708
407.000000, 0.141294
406.000000, 0.138188
405.000000, 0.135295
404.000000, 0.132113
403.000000, 0.129524
402.000000, 0.126833
401.000000, 0.124312
400.000000, 0.122094
399.000000, 0.120141
398.000000, 0.118103
397.000000, 0.116307
396.000000, 0.114346
395.000000, 0.112896
394.000000, 0.111445
393.000000, 0.110415
392.000000, 0.108837
391.000000, 0.107457
390.000000, 0.106041
389.000000, 0.104542
388.000000, 0.102948
387.000000, 0.101367
386.000000, 0.099510
385.000000, 0.097848
384.000000, 0.096176
383.000000, 0.094544
382.000000, 0.092929
381.000000, 0.091629
380.000000, 0.090272
379.000000, 0.089279
378.000000, 0.087698
377.000000, 0.086972
376.000000, 0.086381
375.000000, 0.085693
374.000000, 0.084966
373.000000, 0.084800
372.000000, 0.084154
371.000000, 0.084390
370.000000, 0.084063
369.000000, 0.084722
368.000000, 0.084385
367.000000, 0.084728
366.000000, 0.085367
365.000000, 0.086425
364.000000, 0.087129
363.000000, 0.088361
362.000000, 0.089640
361.000000, 0.091993
360.000000, 0.093857
359.000000, 0.096272
358.000000, 0.098289
357.000000, 0.100102
356.000000, 0.102059
355.000000, 0.103609
354.000000, 0.104936
353.000000, 0.106247
352.000000, 0.106809
351.000000, 0.107396
350.000000, 0.107558
349.000000, 0.107690
348.000000, 0.107741
347.000000, 0.108262
346.000000, 0.108402
345.000000, 0.108865
344.000000, 0.109541
343.000000, 0.110477
342.000000, 0.112130
341.000000, 0.113685
340.000000, 0.114976
339.000000, 0.116945
338.000000, 0.118754
337.000000, 0.120781
336.000000, 0.122887
335.000000, 0.125312
334.000000, 0.127494
333.000000, 0.130446
332.000000, 0.133362
331.000000, 0.136399
330.000000, 0.140084
329.000000, 0.143946
328.000000, 0.147741
327.000000, 0.151533
326.000000, 0.155370
325.000000, 0.158891
324.000000, 0.162167
323.000000, 0.165299
322.000000, 0.167830
321.000000, 0.170191
320.000000, 0.172084
319.000000, 0.174136
318.000000, 0.176165
317.000000, 0.178740
316.000000, 0.181241
315.000000, 0.183962
314.000000, 0.187565
313.000000, 0.191789
312.000000, 0.197148
311.000000, 0.203547
310.000000, 0.210863
309.000000, 0.219308
308.000000, 0.229467
307.000000, 0.241182
306.000000, 0.254963
305.000000, 0.271420
304.000000, 0.290682
303.000000, 0.313168
302.000000, 0.340102
301.000000, 0.371644
300.000000, 0.408470
