nm, A
510.000000, 0.045137
509.000000, 0.046493
508.000000, 0.048073
507.000000, 0.049741
506.000000, 0.051468
505.000000, 0.053201
504.000000, 0.054997
503.000000, 0.056892
502.000000, 0.059032
501.000000, 0.061352
500.000000, 0.063844
499.000000, 0.066295
498.000000, 0.069042
497.000000, 0.072050
496.000000, 0.075213
495.000000, 0.078663
494.000000, 0.082400
493.000000, 0.086284
492.000000, 0.090524
491.000000, 0.095087
490.000000, 0.100061
489.000000, 0.105522
488.000000, 0.111309
487.000000, 0.117529
486.000000, 0.124299
485.000000, 0.131496
484.000000, 0.139166
483.000000, 0.147394
482.000000, 0.156154
481.000000, 0.165436
480.000000, 0.175634
479.000000, 0.186625
478.000000, 0.198104
477.000000, 0.210158
476.000000, 0.222507
475.000000, 0.235252
474.000000, 0.248447
473.000000, 0.261905
472.000000, 0.275581
471.000000, 0.289353
470.000000, 0.302892
469.000000, 0.316262
468.000000, 0.329673
467.000000, 0.342467
466.000000, 0.354672
465.000000, 0.366354
464.000000, 0.377247
463.000000, 0.387320
462.000000, 0.396515
461.000000, 0.404860
460.000000, 0.412265
459.000000, 0.418784
458.000000, 0.424219
457.000000, 0.428708
456.000000, 0.432152
455.000000, 0.434767
454.000000, 0.436311
453.000000, 0.437103
452.000000, 0.436952
451.000000, 0.435933
450.000000, 0.434060
449.000000, 0.431557
448.000000, 0.428598
447.000000, 0.425361
446.000000, 0.421579
445.000000, 0.417606
444.000000, 0.413665
443.000000, 0.409676
442.000000, 0.405878
441.000000, 0.402204
440.000000, 0.398447
439.000000, 0.395123
438.000000, 0.392064
437.000000, 0.389325
436.000000, 0.386683
435.000000, 0.384347
434.000000, 0.382130
433.000000, 0.380065
432.000000, 0.378163
431.000000, 0.376038
430.000000, 0.374006
429.000000, 0.372094
428.000000, 0.370037
427.000000, 0.367583
426.000000, 0.364668
425.000000, 0.361859
424.000000, 0.358628
423.000000, 0.355112
422.000000, 0.350633
421.000000, 0.345750
420.000000, 0.340124
419.000000, 0.333716
418.000000, 0.326611
417.000000, 0.319006
416.000000, 0.310937
415.000000, 0.302264
414.000000, 0.292985
413.000000, 0.283654
412.000000, 0.274417
411.000000, 0.265194
410.000000, 0.255849
409.000000, 0.246951
408.000000, 0.238214
407.000000, 0.229865
406.000000, 0.222402
405.000000, 0.215553
404.000000, 0.208836
403.000000, 0.202955
402.000000, 0.197496
401.000000, 0.192520
400.000000, 0.187921
399.000000, 0.184188
398.000000, 0.180408
397.000000, 0.177302
396.000000, 0.174234
395.000000, 0.171794
394.000000, 0.169258
393.000000, 0.167162
392.000000, 0.164448
391.000000, 0.162189
390.000000, 0.159616
389.000000, 0.156782
388.000000, 0.153794
387.000000, 0.150713
386.000000, 0.147352
385.000000, 0.144455
384.000000, 0.141384
383.000000, 0.138458
382.000000, 0.135734
381.000000, 0.133673
380.000000, 0.131159
379.000000, 0.129690
378.000000, 0.127898
377.000000, 0.127006
376.000000, 0.125812
375.000000, 0.125296
374.000000, 0.125256
373.000000, 0.125339
372.000000, 0.125395
371.000000, 0.125898
370.000000, 0.126095
369.000000, 0.127504
368.000000, 0.128366
367.000000, 0.129527
366.000000, 0.131759
365.000000, 0.134149
364.000000, 0.136732
363.000000, 0.139514
362.000000, 0.143066
361.000000, 0.147836
360.000000, 0.152441
359.000000, 0.157646
358.000000, 0.161995
357.000000, 0.166749
356.000000, 0.170920
355.000000, 0.174700
354.000000, 0.178041
353.000000, 0.181001
352.000000, 0.182898
351.000000, 0.184513
350.000000, 0.185471
349.000000, 0.186506
348.000000, 0.187187
347.000000, 0.188520
346.000000, 0.189605
345.000000, 0.191061
344.000000, 0.193351
343.000000, 0.195933
342.000000, 0.199461
341.000000, 0.202569
340.000000, 0.206190
339.000000, 0.210049
338.000000, 0.214318
337.000000, 0.218912
336.000000, 0.223620
335.000000, 0.229028
334.000000, 0.234103
333.000000, 0.240134
332.000000, 0.247049
331.000000, 0.253895
330.000000, 0.261374
329.000000, 0.269476
328.000000, 0.277551
327.000000, 0.286002
326.000000, 0.293968
325.000000, 0.301846
324.000000, 0.308736
323.000000, 0.315281
322.000000, 0.321157
321.000000, 0.326557
320.000000, 0.331466
319.000000, 0.336387
318.000000, 0.341419
317.000000, 0.347391
316.000000, 0.353453
315.000000, 0.360635
314.000000, 0.369625
313.000000, 0.380379
312.000000, 0.393108
311.000000, 0.408726
310.000000, 0.426911
309.000000, 0.448096
308.000000, 0.473560
307.000000, 0.503447
306.000000, 0.538415
305.000000, 0.579336
304.000000, 0.627630
303.000000, 0.685055
302.000000, 0.753031
301.000000, 0.832829
300.000000, 0.926534
