nm, A
510.000000, 0.048548
509.000000, 0.049835
508.000000, 0.051369
507.000000, 0.053000
506.000000, 0.054744
505.000000, 0.056586
504.000000, 0.058383
503.000000, 0.060262
502.000000, 0.062436
501.000000, 0.064735
500.000000, 0.067107
499.000000, 0.069460
498.000000, 0.072331
497.000000, 0.075341
496.000000, 0.078452
495.000000, 0.081971
494.000000, 0.085742
493.000000, 0.089653
492.000000, 0.093945
491.000000, 0.098435
490.000000, 0.103373
489.000000, 0.108711
488.000000, 0.114511
487.000000, 0.120710
486.000000, 0.127436
485.000000, 0.134723
484.000000, 0.142343
483.000000, 0.150575
482.000000, 0.159363
481.000000, 0.168684
480.000000, 0.178847
479.000000, 0.189783
478.000000, 0.201088
477.000000, 0.213032
476.000000, 0.225363
475.000000, 0.237954
474.000000, 0.251009
473.000000, 0.264496
472.000000, 0.278052
471.000000, 0.291672
470.000000, 0.305336
469.000000, 0.318681
468.000000, 0.331670
467.000000, 0.344267
466.000000, 0.356454
465.000000, 0.367974
464.000000, 0.378827
463.000000, 0.388746
462.000000, 0.397769
461.000000, 0.406048
460.000000, 0.413432
459.000000, 0.419870
458.000000, 0.425230
457.000000, 0.429561
456.000000, 0.433056
455.000000, 0.435563
454.000000, 0.437103
453.000000, 0.437912
452.000000, 0.437721
451.000000, 0.436708
450.000000, 0.434919
449.000000, 0.432469
448.000000, 0.429520
447.000000, 0.426326
446.000000, 0.422663
445.000000, 0.418850
444.000000, 0.415254
443.000000, 0.411894
442.000000, 0.408777
441.000000, 0.406005
440.000000, 0.403164
439.000000, 0.400733
438.000000, 0.398546
437.000000, 0.396307
436.000000, 0.394012
435.000000, 0.391766
434.000000, 0.389384
433.000000, 0.386995
432.000000, 0.384704
431.000000, 0.382328
430.000000, 0.379975
429.000000, 0.377744
428.000000, 0.375214
427.000000, 0.372631
426.000000, 0.369817
425.000000, 0.367061
424.000000, 0.363884
423.000000, 0.360671
422.000000, 0.356507
421.000000, 0.352126
420.000000, 0.347066
419.000000, 0.341368
418.000000, 0.335185
417.000000, 0.328646
416.000000, 0.321457
415.000000, 0.313915
414.000000, 0.305885
413.000000, 0.297844
412.000000, 0.289781
411.000000, 0.281943
410.000000, 0.273825
409.000000, 0.265865
408.000000, 0.258406
407.000000, 0.251152
406.000000, 0.244208
405.000000, 0.237930
404.000000, 0.231673
403.000000, 0.226113
402.000000, 0.220808
401.000000, 0.215907
400.000000, 0.211394
399.000000, 0.207751
398.000000, 0.203841
397.000000, 0.200459
396.000000, 0.197175
395.000000, 0.194609
394.000000, 0.191895
393.000000, 0.189663
392.000000, 0.187014
391.000000, 0.184639
390.000000, 0.181856
389.000000, 0.179048
388.000000, 0.176011
387.000000, 0.173117
386.000000, 0.169705
385.000000, 0.166522
384.000000, 0.163418
383.000000, 0.160409
382.000000, 0.157639
381.000000, 0.155118
380.000000, 0.152732
379.000000, 0.150863
378.000000, 0.148185
377.000000, 0.147338
376.000000, 0.146036
375.000000, 0.145392
374.000000, 0.144718
373.000000, 0.144188
372.000000, 0.144241
371.000000, 0.144689
370.000000, 0.144706
369.000000, 0.145543
368.000000, 0.146408
367.000000, 0.147556
366.000000, 0.149249
365.000000, 0.151854
364.000000, 0.153989
363.000000, 0.156885
362.000000, 0.160172
361.000000, 0.164809
360.000000, 0.168937
359.000000, 0.174181
358.000000, 0.178433
357.000000, 0.183016
356.000000, 0.187460
355.000000, 0.191226
354.000000, 0.194652
353.000000, 0.197686
352.000000, 0.199927
351.000000, 0.201629
350.000000, 0.203240
349.000000, 0.204281
348.000000, 0.205762
347.000000, 0.207892
346.000000, 0.209847
345.000000, 0.212327
344.000000, 0.215068
343.000000, 0.218874
342.000000, 0.223245
341.000000, 0.227936
340.000000, 0.232806
339.000000, 0.238242
338.000000, 0.244134
337.000000, 0.250618
336.000000, 0.257207
335.000000, 0.264908
334.000000, 0.272414
333.000000, 0.280739
332.000000, 0.290256
331.000000, 0.300009
330.000000, 0.310663
329.000000, 0.322100
328.000000, 0.333862
